Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.4635000000003,130.4635000000003,2,0.8384917069997755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,131.32400624999946,131.32400624999946,5,12.779800124000758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,144.118600667,144.118600667,5,1.9827869999999166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,146.12050233400032,146.12050233400032,5,1.9806956239999636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,148.1187619999996,148.1187619999996,5,1.982635332999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.20308491699973,150.2953995419998,150.2953995419998,150.2953995419998,150.20308491699973,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2530849169997,150.2953995419998,150.2953995419998,150.2953995419998,150.2530849169997,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,150.2953995419998,155.50630362499987,155.50630362499987,166.50520616699987,None,0,,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
1,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_low-pitch_F_loud.wav,stimulus/audwhat_stim/string cello_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,,,,,166.50520616699987,166.50520616699987,166.50520616699987,166.50520616699987,166.50520616699987,166.50520616699987,166.50520616699987,166.50520616699987,166.43076516699958,166.50520616699987,166.50520616699987,166.50520616699987,166.43076516699958,166.50520616699987,166.50520616699987,166.50520616699987,168.60425870900008,,166.50520616699987,166.50520616699987,171.68576079199966,166.50520616699987,166.50520616699987,166.50520616699987,166.50520616699987,166.9555330420003,168.02394049999975,166.92751216666673,,168.60425870900008,169.6760462090001,168.5762907506667,,166.50520616699987,171.68576079199966,166.50520616699987,171.68576079199966,171.7257976249998,172.39379508399952,166.50520616699987,2,1,1.5158580000006623,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
2,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/string viola_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Pitch,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,,,,,172.59984674999987,172.59984674999987,172.59984674999987,172.59984674999987,172.59984674999987,172.59984674999987,172.59984674999987,172.59984674999987,172.52712841733288,172.59984674999987,172.59984674999987,172.59984674999987,172.52712841733288,172.59984674999987,172.59984674999987,172.59984674999987,174.70565404200033,,172.59984674999987,172.59984674999987,177.78626845899953,172.59984674999987,172.59984674999987,172.59984674999987,172.59984674999987,173.0892266249998,174.12440870899945,173.0611836666665,174.12440870899945,174.70565404200033,175.73574750000034,174.6778792506664,,172.59984674999987,177.78626845899953,172.59984674999987,177.78626845899953,177.82578295899975,178.4944054169996,172.59984674999987,1,1,1.019941665999795,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
3,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Pitch,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,,,,,178.700549959,178.700549959,178.700549959,178.700549959,178.700549959,178.700549959,178.700549959,178.700549959,178.62773875033295,178.700549959,178.700549959,178.700549959,178.62773875033295,178.700549959,178.700549959,178.700549959,180.80910600000016,184.82565437499989,178.700549959,178.700549959,183.8670995839998,178.700549959,178.700549959,178.700549959,178.700549959,179.15003891700007,180.18071558400015,179.12200112566623,,180.80910600000016,181.84486920900008,180.78065783366654,,178.700549959,183.8670995839998,178.700549959,183.8670995839998,183.906697334,184.57963933400015,178.700549959,2,1,0.5551328319997992,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
4,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_D_loud.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,,,,,184.82565437499989,184.82565437499989,184.82565437499989,184.82565437499989,184.82565437499989,184.82565437499989,184.82565437499989,184.82565437499989,184.75198166733358,184.82565437499989,184.82565437499989,184.82565437499989,184.75198166733358,184.82565437499989,184.82565437499989,184.82565437499989,186.9382452499999,,184.82565437499989,184.82565437499989,189.99246820899998,184.82565437499989,184.82565437499989,184.82565437499989,184.82565437499989,185.2762067919998,186.31010512500006,185.24827516666645,,186.9382452499999,187.9764929170001,186.90963137566612,187.9764929170001,184.82565437499989,189.99246820899998,184.82565437499989,189.99246820899998,190.03298500000028,190.70675704199994,184.82565437499989,2,1,0.9654463749993738,reldom2_fmri_s004p,001,2024-12-11_16h21.03.501,Aud-B-Scan_AC,2022.2.5,None,
