Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.883813625000585,9.883813625000585,2,1.3756605830003537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,11.292340625000179,11.292340625000179,5,13.778266958000131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,25.08418037499996,25.08418037499996,5,1.986351458000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,27.08725270800005,27.08725270800005,5,1.982753958000103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,29.084672708000653,29.084672708000653,5,1.9855921250000392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,16,,,,,0,0,0,0,,,,,,,,,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.172686250000513,31.26472566600023,31.26472566600023,31.26472566600023,31.172686250000513,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.222686250000514,31.26472566600023,31.26472566600023,31.26472566600023,31.222686250000514,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,31.26472566600023,36.44049858300059,36.44049858300059,47.45651308300057,None,0,,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
1,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/150-deg_dot-left_royalblue.png,stimulus/viswhere_stim/150-deg_dot-right_peru.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/dot_box.png,stimulus/viswhere_stim/dot_yes.png,stimulus/viswhere_stim/dot_no.png,None,Dot,None,Line,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,1,1,1,,,,,,,,,47.45651308300057,47.45651308300057,47.45651308300057,47.45651308300057,47.45651308300057,47.45651308300057,47.45651308300057,47.45651308300057,47.43644783300024,47.45651308300057,47.45651308300057,47.45651308300057,47.43644783300024,47.45651308300057,47.45651308300057,47.45651308300057,49.566082916000596,53.519581958000344,47.45651308300057,47.45651308300057,52.582927458000086,47.93156325000018,48.938645375000306,49.566082916000596,50.58116083300047,47.45651308300057,47.45651308300057,47.4531144996669,47.45651308300057,47.45651308300057,47.45651308300057,47.4531144996669,47.45651308300057,47.45651308300057,52.582927458000086,47.45651308300057,52.582927458000086,52.67892070800008,53.30652379100047,47.45651308300057,2,1,0.8935837919998448,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
2,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/30-deg_dot-left_salmon.png,stimulus/viswhere_stim/30-deg_dot-right_seagreen.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/dot_box.png,stimulus/viswhere_stim/dot_yes.png,stimulus/viswhere_stim/dot_no.png,None,Dot,None,Line,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,2,2,2,,,,,,,,,53.519581958000344,53.519581958000344,53.519581958000344,53.519581958000344,53.519581958000344,53.519581958000344,53.519581958000344,53.519581958000344,53.500127333334,53.519581958000344,53.519581958000344,53.519581958000344,53.500127333334,53.519581958000344,53.519581958000344,53.519581958000344,55.618861625000136,59.59051887500027,53.519581958000344,53.519581958000344,58.64058604100046,53.99248616600016,54.994407083000624,55.618861625000136,56.627088833000016,53.519581958000344,53.519581958000344,53.500127333334,53.519581958000344,53.519581958000344,53.519581958000344,53.500127333334,53.519581958000344,53.519581958000344,58.64058604100046,53.519581958000344,58.64058604100046,58.74913012500019,59.38692524999988,53.519581958000344,2,1,1.0887444159998267,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
3,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/120-deg_dot-left_goldenrod.png,stimulus/viswhere_stim/30-deg_dot-left_slateblue.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/dot_box.png,stimulus/viswhere_stim/dot_yes.png,stimulus/viswhere_stim/dot_no.png,None,Dot,None,Dot,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,3,3,3,,,,,,,,,59.59051887500027,59.59051887500027,59.59051887500027,59.59051887500027,59.59051887500027,59.59051887500027,59.59051887500027,59.59051887500027,59.57058591633389,59.59051887500027,59.59051887500027,59.59051887500027,59.57058591633389,59.59051887500027,59.59051887500027,59.59051887500027,61.69980129100077,65.65368949999993,59.59051887500027,59.59051887500027,64.71611904100064,60.06446958300057,61.071512916000756,61.69980129100077,62.71203491600045,59.59051887500027,59.59051887500027,59.587252583000556,59.59051887500027,59.59051887500027,59.59051887500027,59.587252583000556,59.59051887500027,59.59051887500027,64.71611904100064,59.59051887500027,64.71611904100064,64.81620700000076,65.45110895800008,59.59051887500027,1,1,1.315707624999959,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
4,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/150-deg_dot-right_royalblue.png,stimulus/viswhere_stim/30-deg_dot-right_salmon.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/line_box.png,stimulus/viswhere_stim/line_yes.png,stimulus/viswhere_stim/line_no.png,None,Line,None,Dot,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,4,4,4,,,,,,,,,65.65368949999993,65.65368949999993,65.65368949999993,65.65368949999993,65.65368949999993,65.65368949999993,65.65368949999993,65.65368949999993,65.63463441633333,65.65368949999993,65.65368949999993,65.65368949999993,65.63463441633333,65.65368949999993,65.65368949999993,65.65368949999993,67.7536983330001,71.79828562500006,65.65368949999993,65.65368949999993,70.77498237500004,66.13525508300063,67.1378809580001,67.7536983330001,68.76235541599999,65.65368949999993,65.65368949999993,65.63463441633333,65.65368949999993,65.65368949999993,65.65368949999993,65.63463441633333,65.65368949999993,65.65368949999993,70.77498237500004,65.65368949999993,70.77498237500004,70.87137187500048,71.50586637500055,65.65368949999993,2,1,1.2815029160001359,reldom2_fmri_s004p,001,2024-12-11_16h32.15.339,Vis-B-Scan_AC,2022.2.5,None,
