Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.864185625000573,8.864185625000573,2,1.3826663749996442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,10.269963167000242,10.269963167000242,5,11.206357123999624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,21.49091850000059,21.49091850000059,5,1.9860760409992508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,23.4970079170007,23.4970079170007,5,1.9815345409988367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,25.49290312500034,25.49290312500034,5,1.984078249999584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.580806833000313,27.687603250000393,27.687603250000393,27.687603250000393,27.580806833000313,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.64747349966698,27.687603250000393,27.687603250000393,27.687603250000393,27.64747349966698,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,27.687603250000393,32.899353125000744,32.899353125000744,44.13692975000049,None,0,,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
1,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/water_vehicle-pirateship.png,stimulus/viswhat_stim/water_animal-lobster.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/location_box.png,stimulus/viswhat_stim/location_yes.png,stimulus/viswhat_stim/location_no.png,None,Location,None,Location,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,1,1,1,,,,,,,,,44.13692975000049,44.13692975000049,44.13692975000049,44.13692975000049,44.13692975000049,44.13692975000049,44.13692975000049,44.13692975000049,43.84965933300045,44.13692975000049,44.13692975000049,44.13692975000049,43.84965933300045,44.13692975000049,44.13692975000049,44.13692975000049,46.1465790000002,,44.13692975000049,44.13692975000049,49.45745000000079,44.566061292000086,45.715584542000215,46.1465790000002,47.295711792000475,44.13692975000049,44.13692975000049,43.99965933300045,44.13692975000049,44.13692975000049,44.13692975000049,43.99965933300045,44.13692975000049,44.13692975000049,49.45745000000079,44.13692975000049,49.45745000000079,49.319706333000795,,44.13692975000049,1,1,1.138941457999863,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
2,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/land_vehicle-firetruck.png,stimulus/viswhat_stim/water_vehicle-jetski.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/location_box.png,stimulus/viswhat_stim/location_yes.png,stimulus/viswhat_stim/location_no.png,None,Location,None,Type,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,2,2,2,,,,,,,,,50.10513962500045,50.10513962500045,50.10513962500045,50.10513962500045,50.10513962500045,50.10513962500045,50.10513962500045,50.10513962500045,50.07185550033349,50.10513962500045,50.10513962500045,50.10513962500045,50.07185550033349,50.10513962500045,50.10513962500045,50.10513962500045,52.21316066700001,56.2552565420001,50.10513962500045,50.10513962500045,55.24265729200033,50.569770958000845,51.60078670800067,52.21316066700001,53.22487050000018,50.10513962500045,50.10513962500045,50.08852216700016,50.10513962500045,50.10513962500045,50.10513962500045,50.08852216700016,50.10513962500045,50.10513962500045,55.24265729200033,50.10513962500045,55.24265729200033,55.31806391700047,55.944831625000006,50.10513962500045,2,1,1.1264204989993232,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
3,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/land_animal-moose.png,stimulus/viswhat_stim/water_animal-jellyfish.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/type_box.png,stimulus/viswhat_stim/type_yes.png,stimulus/viswhat_stim/type_no.png,None,Type,None,Type,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,3,3,3,,,,,,,,,56.2552565420001,56.2552565420001,56.2552565420001,56.2552565420001,56.2552565420001,56.2552565420001,56.2552565420001,56.2552565420001,56.15809520800085,56.2552565420001,56.2552565420001,56.2552565420001,56.15809520800085,56.2552565420001,56.2552565420001,56.2552565420001,58.335999249999986,62.348493375000544,56.2552565420001,56.2552565420001,61.42849216700051,56.73088608300077,57.80245954200018,58.335999249999986,59.40486308300024,56.2552565420001,56.2552565420001,56.20809520800085,56.2552565420001,56.2552565420001,56.2552565420001,56.20809520800085,56.2552565420001,56.2552565420001,61.42849216700051,56.2552565420001,61.42849216700051,61.48418745800063,62.348493375000544,56.2552565420001,1,1,1.9071234169996387,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
4,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/land_animal-tiger.png,stimulus/viswhat_stim/land_vehicle-rv.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/type_box.png,stimulus/viswhat_stim/type_yes.png,stimulus/viswhat_stim/type_no.png,None,Type,None,Location,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,4,4,4,,,,,,,,,62.348493375000544,62.348493375000544,62.348493375000544,62.348493375000544,62.348493375000544,62.348493375000544,62.348493375000544,62.348493375000544,62.29968354166673,62.348493375000544,62.348493375000544,62.348493375000544,62.29968354166673,62.348493375000544,62.348493375000544,62.348493375000544,64.43458029200065,68.4914843330007,62.348493375000544,62.348493375000544,67.4956971670008,62.836569000000054,63.880197875000704,64.43458029200065,65.47923741700015,62.348493375000544,62.348493375000544,62.3163502083334,62.348493375000544,62.348493375000544,62.348493375000544,62.3163502083334,62.348493375000544,62.348493375000544,67.4956971670008,62.348493375000544,67.4956971670008,67.55477650000012,68.19455812500019,62.348493375000544,2,1,1.3048920419996648,reldom2_fmri_s004p,001,2024-12-11_16h43.36.064,What-B-Scan_AC,2022.2.5,None,
