Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10578250000026,9.10578250000026,2,1.3818560830000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,10.509836416000326,10.509836416000326,5,13.434052958000393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,23.96129712500033,23.96129712500033,5,1.9848728330002814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,25.963427416000286,25.963427416000286,5,1.9809009999999034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,27.953468583000358,27.953468583000358,5,1.9899619160000839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.05300700000007,30.14878870800021,30.14878870800021,30.14878870800021,30.05300700000007,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.10300700000007,30.14878870800021,30.14878870800021,30.14878870800021,30.10300700000007,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,30.14878870800021,35.363975540999945,35.363975540999945,46.39081850000002,None,0,,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_290h.wav,stimulus/audwhere_stim/right_toward_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Side,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,,,,,46.39081850000002,46.39081850000002,46.39081850000002,46.39081850000002,46.39081850000002,46.39081850000002,46.39081850000002,46.39081850000002,46.31543108299993,46.39081850000002,46.39081850000002,46.39081850000002,46.31543108299993,46.39081850000002,46.39081850000002,46.39081850000002,48.5022596660001,52.50579941600017,46.39081850000002,46.39081850000002,51.54523283300023,46.39081850000002,46.39081850000002,46.39081850000002,46.39081850000002,46.84107733300016,47.87579583300021,46.81287674966667,,48.5022596660001,49.534023250000246,48.47408799966685,,46.39081850000002,51.54523283300023,46.39081850000002,51.54523283300023,51.584600500000306,52.25863025000035,46.39081850000002,2,1,1.4920327499999075,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_290h.wav,stimulus/audwhere_stim/right_toward_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Direction,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,,,,,52.50579941600017,52.50579941600017,52.50579941600017,52.50579941600017,52.50579941600017,52.50579941600017,52.50579941600017,52.50579941600017,52.431538749333534,52.50579941600017,52.50579941600017,52.50579941600017,52.431538749333534,52.50579941600017,52.50579941600017,52.50579941600017,54.60488358300017,,52.50579941600017,52.50579941600017,57.68588866600021,52.50579941600017,52.50579941600017,52.50579941600017,52.50579941600017,52.953315166000266,54.02462029100025,52.925439082666585,,54.60488358300017,55.632771333000164,54.577038874666655,,52.50579941600017,57.68588866600021,52.50579941600017,57.68588866600021,57.725259583000025,58.39350575000026,52.50579941600017,1,0,1.1514306250001027,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_280h.wav,stimulus/audwhere_stim/right_away_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Side,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,,,,,58.60120037500019,58.60120037500019,58.60120037500019,58.60120037500019,58.60120037500019,58.60120037500019,58.60120037500019,58.60120037500019,58.52683908333359,58.60120037500019,58.60120037500019,58.60120037500019,58.52683908333359,58.60120037500019,58.60120037500019,58.60120037500019,60.70936283300034,64.72190454100019,58.60120037500019,58.60120037500019,63.76268562500036,58.60120037500019,58.60120037500019,58.60120037500019,58.60120037500019,59.05356625000013,60.08472558299991,59.02390008266663,,60.70936283300034,61.74348362499995,60.68125645766692,,58.60120037500019,63.76268562500036,58.60120037500019,63.76268562500036,63.80312645799995,64.47924916600005,58.60120037500019,2,1,0.9720400000001064,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/right_toward_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,,,,,64.72190454100019,64.72190454100019,64.72190454100019,64.72190454100019,64.72190454100019,64.72190454100019,64.72190454100019,64.72190454100019,64.65168212433366,64.72190454100019,64.72190454100019,64.72190454100019,64.65168212433366,64.72190454100019,64.72190454100019,64.72190454100019,66.83314220800003,70.86098162500002,64.72190454100019,64.72190454100019,69.88336541600029,64.72190454100019,64.72190454100019,64.72190454100019,64.72190454100019,65.21402366600023,66.2514220410003,65.18582891666689,,66.83314220800003,67.86351191600033,66.80512220766674,,64.72190454100019,69.88336541600029,64.72190454100019,69.88336541600029,69.92301791599994,70.59556975000032,64.72190454100019,1,1,1.2812119580003127,reldom2_fmri_s004p,001,2024-12-11_16h07.43.687,Where-B-Scan_AC,2022.2.5,None,
