Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.384314666999899,11.384314666999899,2,0.9360953750001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,12.345863875000077,12.345863875000077,5,17.55539895800007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,29.90876804200002,29.90876804200002,5,1.993051042000161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,31.920909749999964,31.920909749999964,5,1.9802292080000825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,33.91853408299994,33.91853408299994,5,1.9830689580001035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,16,,,,,0,0,0,0,,,,,,,,,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,35.98752162533341,36.09108858299987,36.09108858299987,36.09108858299987,35.98752162533341,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.05418829200007,36.09108858299987,36.09108858299987,36.09108858299987,36.05418829200007,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,36.09108858299987,41.2809585,41.2809585,52.2817682079999,None,0,,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
1,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/150-deg_dot-left_royalblue.png,stimulus/viswhere_stim/150-deg_dot-right_peru.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/dot_box.png,stimulus/viswhere_stim/dot_yes.png,stimulus/viswhere_stim/dot_no.png,None,Dot,None,Line,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,1,1,1,,,,,,,,,52.2817682079999,52.2817682079999,52.2817682079999,52.2817682079999,52.2817682079999,52.2817682079999,52.2817682079999,52.2817682079999,52.25554279200005,52.2817682079999,52.2817682079999,52.2817682079999,52.25554279200005,52.2817682079999,52.2817682079999,52.2817682079999,54.38911029199994,58.335427208000056,52.2817682079999,52.2817682079999,57.41150741699994,52.76662099999999,53.77313870800003,54.38911029199994,55.400432666999905,52.2817682079999,52.2817682079999,52.272209458666715,52.2817682079999,52.2817682079999,52.2817682079999,52.272209458666715,52.2817682079999,52.2817682079999,57.41150741699994,52.2817682079999,57.41150741699994,57.506100583000034,58.12724012500007,52.2817682079999,2,1,1.3517517080001653,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
2,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/30-deg_dot-left_salmon.png,stimulus/viswhere_stim/30-deg_dot-right_seagreen.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/dot_box.png,stimulus/viswhere_stim/dot_yes.png,stimulus/viswhere_stim/dot_no.png,None,Dot,None,Line,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,2,2,2,,,,,,,,,58.335427208000056,58.335427208000056,58.335427208000056,58.335427208000056,58.335427208000056,58.335427208000056,58.335427208000056,58.335427208000056,58.317449041333326,58.335427208000056,58.335427208000056,58.335427208000056,58.317449041333326,58.335427208000056,58.335427208000056,58.335427208000056,60.433527082999944,64.39243287499994,58.335427208000056,58.335427208000056,63.462969582999904,58.812898542000084,59.82434695799998,60.433527082999944,61.452233750000005,58.335427208000056,58.335427208000056,58.317449041333326,58.335427208000056,58.335427208000056,58.335427208000056,58.317449041333326,58.335427208000056,58.335427208000056,63.462969582999904,58.335427208000056,63.462969582999904,63.55643491699993,64.18389774999991,58.335427208000056,2,1,1.289189958000179,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
3,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/120-deg_dot-left_goldenrod.png,stimulus/viswhere_stim/30-deg_dot-left_slateblue.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/dot_box.png,stimulus/viswhere_stim/dot_yes.png,stimulus/viswhere_stim/dot_no.png,None,Dot,None,Dot,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,3,3,3,,,,,,,,,64.39243287499994,64.39243287499994,64.39243287499994,64.39243287499994,64.39243287499994,64.39243287499994,64.39243287499994,64.39243287499994,64.37402725033333,64.39243287499994,64.39243287499994,64.39243287499994,64.37402725033333,64.39243287499994,64.39243287499994,64.39243287499994,66.49431166699992,70.45472562500004,64.39243287499994,64.39243287499994,69.51523429200006,64.87169337499995,65.88399212500008,66.49431166699992,67.49663908299999,64.39243287499994,64.39243287499994,64.37402725033333,64.39243287499994,64.39243287499994,64.39243287499994,64.37402725033333,64.39243287499994,64.39243287499994,69.51523429200006,64.39243287499994,69.51523429200006,69.61029479199988,70.24513124999999,64.39243287499994,1,1,1.7082188740000674,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
4,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/150-deg_dot-right_royalblue.png,stimulus/viswhere_stim/30-deg_dot-right_salmon.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/line_box.png,stimulus/viswhere_stim/line_yes.png,stimulus/viswhere_stim/line_no.png,None,Line,None,Dot,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,4,4,4,,,,,,,,,70.45472562500004,70.45472562500004,70.45472562500004,70.45472562500004,70.45472562500004,70.45472562500004,70.45472562500004,70.45472562500004,70.43494083333333,70.45472562500004,70.45472562500004,70.45472562500004,70.43494083333333,70.45472562500004,70.45472562500004,70.45472562500004,72.55395554200004,76.58710191699993,70.45472562500004,70.45472562500004,75.57992120800009,70.94180591700001,71.95379908299992,72.55395554200004,73.57294425000009,70.45472562500004,70.45472562500004,70.43494083333333,70.45472562500004,70.45472562500004,70.45472562500004,70.43494083333333,70.45472562500004,70.45472562500004,75.57992120800009,70.45472562500004,75.57992120800009,75.67433383299999,76.30551041700005,70.45472562500004,2,1,0.9277561240003251,reldom2_s007,001,2025-02-06_15h05.59.535,Vis-B-Scan_AC,2022.2.5,None,
