Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.612272354002926,21.612272354002926,2,1.0937103339965688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6,,,,,0,0,0,0,,,,,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.017512583669546,23.36791885799903,23.36791885799903,23.36791885799903,23.017512583669546,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.20084591700288,23.36791885799903,23.36791885799903,23.36791885799903,23.20084591700288,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,23.36791885799903,28.50010226500308,28.50010226500308,30.187513324002794,None,0,,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_280h.wav,stimulus/audwhere_stim/right_toward_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,30.187513324002794,30.187513324002794,30.187513324002794,30.187513324002794,30.187513324002794,30.187513324002794,30.187513324002794,30.187513324002794,29.879069590667008,30.187513324002794,30.187513324002794,30.187513324002794,29.879069590667008,30.187513324002794,30.187513324002794,30.187513324002794,32.218059723003535,36.03514426499896,30.187513324002794,30.187513324002794,35.71613423999952,30.187513324002794,30.187513324002794,30.187513324002794,30.187513324002794,30.550292346000788,31.8518453650031,30.386041838665065,,32.218059723003535,33.5353311919971,32.050943220663854,,30.187513324002794,35.71613423999952,30.187513324002794,35.71613423999952,35.377257232001284,36.93124757899932,30.187513324002794,None,0,,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_290h.wav,stimulus/audwhere_stim/right_toward_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,36.93124757899932,36.93124757899932,36.93124757899932,36.93124757899932,36.93124757899932,36.93124757899932,36.93124757899932,36.93124757899932,36.62135440933246,36.93124757899932,36.93124757899932,36.93124757899932,36.62135440933246,36.93124757899932,36.93124757899932,36.93124757899932,38.988151803998335,42.8028989969971,36.93124757899932,36.93124757899932,42.317213611000625,36.93124757899932,36.93124757899932,36.93124757899932,36.93124757899932,37.30784505799966,38.61682655200275,37.14013962866399,,38.988151803998335,40.29769041400141,38.82100056966398,,36.93124757899932,42.317213611000625,36.93124757899932,42.317213611000625,42.16780875800032,43.709144950000336,36.93124757899932,1,1,2.394729825995455,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_290h.wav,stimulus/audwhere_stim/right_away_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Side,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,43.709144950000336,43.709144950000336,43.709144950000336,43.709144950000336,43.709144950000336,43.709144950000336,43.709144950000336,43.709144950000336,43.40815663300163,43.709144950000336,43.709144950000336,43.709144950000336,43.40815663300163,43.709144950000336,43.709144950000336,43.709144950000336,45.80500639299862,49.580319638997025,43.709144950000336,43.709144950000336,49.121853131000535,43.709144950000336,43.709144950000336,43.709144950000336,43.709144950000336,44.08785889400315,45.42958878599893,43.917852534669024,,45.80500639299862,47.10125671399874,45.6295367506648,,43.709144950000336,49.121853131000535,43.709144950000336,49.121853131000535,48.97279245199752,50.43157648300257,43.709144950000336,1,1,2.412660253998183,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/right_toward_290h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Side,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,50.43157648300257,50.43157648300257,50.43157648300257,50.43157648300257,50.43157648300257,50.43157648300257,50.43157648300257,50.43157648300257,50.14481551966552,50.43157648300257,50.43157648300257,50.43157648300257,50.14481551966552,50.43157648300257,50.43157648300257,50.43157648300257,52.49907490499754,56.32499260899931,50.43157648300257,50.43157648300257,55.874400738000986,50.43157648300257,50.43157648300257,50.43157648300257,50.43157648300257,50.816623837003135,52.127072025003145,50.64053474766503,,52.49907490499754,53.83365977199719,52.32557066766846,,50.43157648300257,55.874400738000986,50.43157648300257,55.874400738000986,55.72511791600118,57.217030485997384,50.43157648300257,2,0,2.16666012800124,,reldom2_s008\,001,2025-02-06_11h39.24.946,audwhere_practice_AC,2022.2.5,None,
