Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.915569908996986,18.915569908996986,2,1.3532472930091899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6,,,,,0,0,0,0,,,,,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.549986127327912,20.85388472199702,20.85388472199702,20.85388472199702,20.549986127327912,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.699986127327914,20.85388472199702,20.85388472199702,20.85388472199702,20.699986127327914,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,20.85388472199702,25.98840691199439,25.98840691199439,27.72717434199876,None,0,,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_280h.wav,stimulus/audwhere_stim/right_toward_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,27.72717434199876,27.72717434199876,27.72717434199876,27.72717434199876,27.72717434199876,27.72717434199876,27.72717434199876,27.72717434199876,27.384647070327386,27.72717434199876,27.72717434199876,27.72717434199876,27.384647070327386,27.72717434199876,27.72717434199876,27.72717434199876,29.782631818998198,33.59223014399322,27.72717434199876,27.72717434199876,33.294823446995,27.72717434199876,27.72717434199876,27.72717434199876,27.72717434199876,28.096541999999317,29.40796337199572,27.924763563660477,,29.782631818998198,31.10048844999983,29.616839348662566,,27.72717434199876,33.294823446995,27.72717434199876,33.294823446995,32.95650386899797,34.43771345099958,27.72717434199876,2,0,2.5576499850067194,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_290h.wav,stimulus/audwhere_stim/right_toward_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,34.43771345099958,34.43771345099958,34.43771345099958,34.43771345099958,34.43771345099958,34.43771345099958,34.43771345099958,34.43771345099958,34.13827223499393,34.43771345099958,34.43771345099958,34.43771345099958,34.13827223499393,34.43771345099958,34.43771345099958,34.43771345099958,36.47460461499577,40.41365003399551,34.43771345099958,34.43771345099958,39.95899304499471,34.43771345099958,34.43771345099958,34.43771345099958,34.43771345099958,34.808004496997455,36.102900452999165,34.63711746066498,,36.47460461499577,37.76726694399986,36.309248874666324,,34.43771345099958,39.95899304499471,34.43771345099958,39.95899304499471,39.627618262995384,41.14064921299723,34.43771345099958,1,1,1.9842372870043619,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_290h.wav,stimulus/audwhere_stim/right_away_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Side,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,41.14064921299723,41.14064921299723,41.14064921299723,41.14064921299723,41.14064921299723,41.14064921299723,41.14064921299723,41.14064921299723,40.84698336732884,41.14064921299723,41.14064921299723,41.14064921299723,40.84698336732884,41.14064921299723,41.14064921299723,41.14064921299723,43.1616749869936,47.00813659499545,41.14064921299723,41.14064921299723,46.70637424299639,41.14064921299723,41.14064921299723,41.14064921299723,41.14064921299723,41.511316307995,42.79368908099423,41.34786013866348,,43.1616749869936,44.45472319499822,42.98966937466709,,41.14064921299723,46.70637424299639,41.14064921299723,46.70637424299639,46.371164589996624,47.87659578599414,41.14064921299723,1,1,2.513079911004752,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/right_toward_290h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Side,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,47.87659578599414,47.87659578599414,47.87659578599414,47.87659578599414,47.87659578599414,47.87659578599414,47.87659578599414,47.87659578599414,47.588706818328255,47.87659578599414,47.87659578599414,47.87659578599414,47.588706818328255,47.87659578599414,47.87659578599414,47.87659578599414,49.905194283994206,53.72408462399471,47.87659578599414,47.87659578599414,53.42687544499495,47.87659578599414,47.87659578599414,47.87659578599414,47.87659578599414,48.248497819993645,49.53814051599329,48.08165699766347,,49.905194283994206,51.22916665299999,49.73898850966022,,47.87659578599414,53.42687544499495,47.87659578599414,53.42687544499495,53.08348490999924,54.584212687994295,47.87659578599414,1,1,2.6648783100026776,,reldom2_s008,001,2025-02-06_11h35.19.878,audwhere_practice_AC,2022.2.5,None,
