Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.130799375008792,14.130799375008792,2,1.0456479160347953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6,,,,,0,0,0,0,,,,,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.309751583410739,15.419781583012082,15.419781583012082,15.419781583012082,15.309751583410739,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.359751583410738,15.419781583012082,15.419781583012082,15.419781583012082,15.359751583410738,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,15.419781583012082,20.63356779201422,20.63356779201422,21.675610208068974,None,0,,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_280h.wav,stimulus/audwhere_stim/right_toward_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,21.675610208068974,21.675610208068974,21.675610208068974,21.675610208068974,21.675610208068974,21.675610208068974,21.675610208068974,21.675610208068974,21.600572000001556,21.675610208068974,21.675610208068974,21.675610208068974,21.600572000001556,21.675610208068974,21.675610208068974,21.675610208068974,23.74844625010155,27.63962720800191,21.675610208068974,21.675610208068974,26.971528667025268,21.675610208068974,21.675610208068974,21.675610208068974,21.675610208068974,22.160402167006396,23.220133000053465,22.12898449966839,,23.74844625010155,24.807796083041467,23.71657583368166,,21.675610208068974,26.971528667025268,21.675610208068974,26.971528667025268,26.88072070805356,27.84860483300872,21.675610208068974,1,1,1.892093374975957,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_290h.wav,stimulus/audwhere_stim/right_toward_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,27.84860483300872,27.84860483300872,27.84860483300872,27.84860483300872,27.84860483300872,27.84860483300872,27.84860483300872,27.84860483300872,27.772960541335244,27.84860483300872,27.84860483300872,27.84860483300872,27.772960541335244,27.84860483300872,27.84860483300872,27.84860483300872,29.962646250030957,33.9980932920007,27.84860483300872,27.84860483300872,33.149773958022706,27.84860483300872,27.84860483300872,27.84860483300872,27.84860483300872,28.332425167085603,29.386976832989603,28.300100416705632,,29.962646250030957,31.017298458027653,29.930807499742755,,27.84860483300872,33.149773958022706,27.84860483300872,33.149773958022706,33.05028125003446,33.9980932920007,27.84860483300872,1,1,2.003896416979842,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_290h.wav,stimulus/audwhere_stim/right_away_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Side,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,33.9980932920007,33.9980932920007,33.9980932920007,33.9980932920007,33.9980932920007,33.9980932920007,33.9980932920007,33.9980932920007,33.916764041323525,33.9980932920007,33.9980932920007,33.9980932920007,33.916764041323525,33.9980932920007,33.9980932920007,33.9980932920007,36.06749062507879,39.94579033309128,33.9980932920007,33.9980932920007,39.27727054199204,33.9980932920007,33.9980932920007,33.9980932920007,33.9980932920007,34.48211045807693,35.54195887502283,34.449821916703755,,36.06749062507879,37.12276808300521,36.03651429171829,,33.9980932920007,39.27727054199204,33.9980932920007,39.27727054199204,39.23548258305527,40.19633487507235,33.9980932920007,1,0,1.552796500036493,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_280h.wav,stimulus/audwhere_stim/right_toward_290h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Side,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,40.19633487507235,40.19633487507235,40.19633487507235,40.19633487507235,40.19633487507235,40.19633487507235,40.19633487507235,40.19633487507235,40.12106012532798,40.19633487507235,40.19633487507235,40.19633487507235,40.12106012532798,40.19633487507235,40.19633487507235,40.19633487507235,42.307777583017014,46.14158325002063,40.19633487507235,40.19633487507235,45.47485716699157,40.19633487507235,40.19633487507235,40.19633487507235,40.19633487507235,40.676593750016764,41.73239462508354,40.64532141673068,,42.307777583017014,43.36480758304242,42.276221041746126,,40.19633487507235,45.47485716699157,40.19633487507235,45.47485716699157,45.43309450009838,46.40868091699667,40.19633487507235,1,0,1.2243867500219494,,s008,001,2025-02-06_12h05.41.867,audwhere_practice_AC,2022.2.5,None,
