Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.305370875000335,7.305370875000335,2,3.9400075830008063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,11.279563582999799,11.279563582999799,5,15.03724500000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,26.335715000000164,26.335715000000164,5,1.9815795829999843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,28.333011916000032,28.333011916000032,5,1.983699166000406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,30.32832608300032,30.32832608300032,5,1.9890427079999426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.43981191666705,32.53729708300034,32.53729708300034,32.53729708300034,32.43981191666705,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.489811916667044,32.53729708300034,32.53729708300034,32.53729708300034,32.489811916667044,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,32.53729708300034,37.72054349999962,37.72054349999962,48.99054474999957,None,0,,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
1,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/water_vehicle-pirateship.png,stimulus/viswhat_stim/water_animal-lobster.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/location_box.png,stimulus/viswhat_stim/location_yes.png,stimulus/viswhat_stim/location_no.png,None,Location,None,Location,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,1,1,1,,,,,,,,,48.99054474999957,48.99054474999957,48.99054474999957,48.99054474999957,48.99054474999957,48.99054474999957,48.99054474999957,48.99054474999957,48.70674650000037,48.99054474999957,48.99054474999957,48.99054474999957,48.70674650000037,48.99054474999957,48.99054474999957,48.99054474999957,51.01413450000018,,48.99054474999957,48.99054474999957,54.34435058300005,49.423514291000174,50.580078082999535,51.01413450000018,52.17050683300022,48.99054474999957,48.99054474999957,48.85674650000037,48.99054474999957,48.99054474999957,48.99054474999957,48.85674650000037,48.99054474999957,48.99054474999957,54.34435058300005,48.99054474999957,54.34435058300005,54.20371254099973,,48.99054474999957,1,1,1.214608333999422,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
2,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/land_vehicle-firetruck.png,stimulus/viswhat_stim/water_vehicle-jetski.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/location_box.png,stimulus/viswhat_stim/location_yes.png,stimulus/viswhat_stim/location_no.png,None,Location,None,Type,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,2,2,2,,,,,,,,,54.99026670799958,54.99026670799958,54.99026670799958,54.99026670799958,54.99026670799958,54.99026670799958,54.99026670799958,54.99026670799958,54.95686199933365,54.99026670799958,54.99026670799958,54.99026670799958,54.95686199933365,54.99026670799958,54.99026670799958,54.99026670799958,57.08828733300015,61.13012604100004,54.99026670799958,54.99026670799958,60.139178374999574,55.455869874999735,56.47528662500008,57.08828733300015,58.0995384580001,54.99026670799958,54.99026670799958,54.97352866600031,54.99026670799958,54.99026670799958,54.99026670799958,54.97352866600031,54.99026670799958,54.99026670799958,60.139178374999574,54.99026670799958,60.139178374999574,60.214377250000325,60.85807683300027,54.99026670799958,2,1,0.8416865409999446,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
3,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/land_animal-moose.png,stimulus/viswhat_stim/water_animal-jellyfish.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/type_box.png,stimulus/viswhat_stim/type_yes.png,stimulus/viswhat_stim/type_no.png,None,Type,None,Type,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,3,3,3,,,,,,,,,61.13012604100004,61.13012604100004,61.13012604100004,61.13012604100004,61.13012604100004,61.13012604100004,61.13012604100004,61.13012604100004,61.03338945799951,61.13012604100004,61.13012604100004,61.13012604100004,61.03338945799951,61.13012604100004,61.13012604100004,61.13012604100004,63.21977620799953,,61.13012604100004,61.13012604100004,66.32607479099988,61.60734829099965,62.68366049999986,63.21977620799953,64.29703566599983,61.13012604100004,61.13012604100004,61.08338945799951,61.13012604100004,61.13012604100004,61.13012604100004,61.08338945799951,61.13012604100004,61.13012604100004,66.32607479099988,61.13012604100004,66.32607479099988,66.32607479099988,67.19114675000037,61.13012604100004,1,1,0.699112750000495,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
4,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/land_animal-tiger.png,stimulus/viswhat_stim/land_vehicle-rv.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/type_box.png,stimulus/viswhat_stim/type_yes.png,stimulus/viswhat_stim/type_no.png,None,Type,None,Location,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,4,4,4,,,,,,,,,67.19114675000037,67.19114675000037,67.19114675000037,67.19114675000037,67.19114675000037,67.19114675000037,67.19114675000037,67.19114675000037,67.14219287466646,67.19114675000037,67.19114675000037,67.19114675000037,67.14219287466646,67.19114675000037,67.19114675000037,67.19114675000037,69.30257779099975,,67.19114675000037,67.19114675000037,72.35043374999987,67.67455416600023,68.71499024999957,69.30257779099975,70.34080554100001,67.19114675000037,67.19114675000037,67.15885954133313,67.19114675000037,67.19114675000037,67.19114675000037,67.15885954133313,67.19114675000037,67.19114675000037,72.35043374999987,67.19114675000037,72.35043374999987,72.40892583299956,73.04543341600038,67.19114675000037,2,1,1.1836723749993325,reldom2_s013,001,2025-02-14_12h39.46.271,What-B-Scan_AC,2022.2.5,None,
