Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.201483916999678,8.201483916999678,2,0.6703917910003838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,8.903318624999883,8.903318624999883,5,17.50716387500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,26.429544749999877,26.429544749999877,5,1.9801978330006023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,28.425890416999664,28.425890416999664,5,1.9840584160006074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,30.418227832999946,30.418227832999946,5,1.99289250000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.53215491666639,32.62398533299984,32.62398533299984,32.62398533299984,32.53215491666639,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.58215491666639,32.62398533299984,32.62398533299984,32.62398533299984,32.58215491666639,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,32.62398533299984,37.84215891699978,37.84215891699978,48.83540366699981,None,0,,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
1,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_low-pitch_F_loud.wav,stimulus/audwhat_stim/string cello_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,,,,,48.83540366699981,48.83540366699981,48.83540366699981,48.83540366699981,48.83540366699981,48.83540366699981,48.83540366699981,48.83540366699981,48.76018658299963,48.83540366699981,48.83540366699981,48.83540366699981,48.76018658299963,48.83540366699981,48.83540366699981,48.83540366699981,50.940314916999796,,48.83540366699981,48.83540366699981,53.9973289579998,48.83540366699981,48.83540366699981,48.83540366699981,48.83540366699981,49.29358762499987,50.34369137499971,49.26437516666671,,50.940314916999796,51.99330283299969,50.91069199966638,,48.83540366699981,53.9973289579998,48.83540366699981,53.9973289579998,54.03779633299973,54.72435691700002,48.83540366699981,2,1,1.2060415410001042,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
2,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/string viola_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Pitch,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,,,,,54.93490437499986,54.93490437499986,54.93490437499986,54.93490437499986,54.93490437499986,54.93490437499986,54.93490437499986,54.93490437499986,54.857690250333356,54.93490437499986,54.93490437499986,54.93490437499986,54.857690250333356,54.93490437499986,54.93490437499986,54.93490437499986,57.048865957999624,,54.93490437499986,54.93490437499986,60.08910862499988,54.93490437499986,54.93490437499986,54.93490437499986,54.93490437499986,55.394763499999954,56.45285304199979,55.36550095866666,56.40563829199982,57.048865957999624,58.111157291999916,57.019443083666616,,54.93490437499986,60.08910862499988,54.93490437499986,60.08910862499988,60.12962787499964,60.781653707999794,54.93490437499986,1,1,0.8159548330004327,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
3,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Pitch,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,,,,,61.03463758299995,61.03463758299995,61.03463758299995,61.03463758299995,61.03463758299995,61.03463758299995,61.03463758299995,61.03463758299995,60.95535487533301,61.03463758299995,61.03463758299995,61.03463758299995,60.95535487533301,61.03463758299995,61.03463758299995,61.03463758299995,63.123955125000066,,61.03463758299995,61.03463758299995,66.18874324999979,61.03463758299995,61.03463758299995,61.03463758299995,61.03463758299995,61.49879387500005,62.56804199999988,61.4685274586666,,63.123955125000066,64.1951147499999,63.0937528336665,,61.03463758299995,66.18874324999979,61.03463758299995,66.18874324999979,66.22973145800006,66.88232887499998,61.03463758299995,2,1,1.2615224580003996,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
4,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_D_loud.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,,,,,67.1396948329998,67.1396948329998,67.1396948329998,67.1396948329998,67.1396948329998,67.1396948329998,67.1396948329998,67.1396948329998,67.05662470833306,67.1396948329998,67.1396948329998,67.1396948329998,67.05662470833306,67.1396948329998,67.1396948329998,67.1396948329998,69.222892667,,67.1396948329998,67.1396948329998,72.32917891699981,67.1396948329998,67.1396948329998,67.1396948329998,67.1396948329998,67.60255329199981,68.66831341699981,67.57277341666646,,69.222892667,70.2902201249999,69.19330645866673,70.24384712499977,67.1396948329998,72.32917891699981,67.1396948329998,72.32917891699981,72.32917891699981,72.97983054199995,67.1396948329998,2,1,1.52482050000026,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,8,,,,,0,5,5,5,,,,,,,,,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.15373466633321,73.25391691699997,73.25391691699997,73.25391691699997,73.15373466633321,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.20373466633322,73.25391691699997,73.25391691699997,73.25391691699997,73.20373466633322,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,73.25391691699997,78.487467208,78.487467208,81.41198120799982,None,0,,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
5,Second_Order,1.0,audwhat,stimulus/audwhat_stim/percussion mallet_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/string cello_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/string viola_low-pitch_F_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_F_loud.wav,stimulus/audwhat_stim/match_blank.png,stimulus/audwhat_stim/match_box.png,stimulus/audwhat_stim/match_yes.png,stimulus/audwhat_stim/match_no.png,1.0,Match,Pitch,Pitch,1,5.125,0,5.125,0,5.125,0,5.125,0,0.75,0.75,0,0,0,0,0,0,0,0,1,0.5,1,2.125,1,0.5,1,2.125,0,,,,,0,6,6,6,,,,,,,,,81.41198120799982,86.52880587499976,81.41198120799982,81.41198120799982,81.41198120799982,81.41198120799982,81.86699649999991,82.86534333300006,81.87991391666652,,83.48827295799992,84.48589858299965,83.50034383366643,,86.52880587499976,87.37831145799964,89.45294479199993,93.36377462499968,87.37831145799964,87.37831145799964,92.5543607919999,87.37831145799964,87.37831145799964,87.37831145799964,87.37831145799964,87.83768324999983,88.89923887499981,87.8079323746663,,89.45294479199993,90.52037770800007,89.42346983366657,,87.37831145799964,92.5543607919999,87.37831145799964,92.5543607919999,92.5543607919999,,87.37831145799964,1,1,0.6351127490002,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
6,Second_Order,1.0,audwhat,stimulus/audwhat_stim/percussion mallet_low-pitch_F_loud.wav,stimulus/audwhat_stim/percussion mallet_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/string viola_low-pitch_Ftri_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Ftri_loud.wav,stimulus/audwhat_stim/match_blank.png,stimulus/audwhat_stim/match_box.png,stimulus/audwhat_stim/match_yes.png,stimulus/audwhat_stim/match_no.png,2.0,Match,Category,Pitch,2,5.125,0,5.125,0,5.125,0,5.125,0,0.625,0.625,0,0,0,0,0,0,0,0,1,0.5,1,2.125,1,0.5,1,2.125,0,,,,,0,7,7,7,,,,,,,,,93.36377462499968,98.48496095799965,93.36377462499968,93.36377462499968,93.36377462499968,93.36377462499968,93.81132870800002,94.81005133300005,93.82416408366659,,95.45005283299997,96.4470430829997,95.46127195866644,,98.48496095799965,99.21999320799978,101.2816416669998,105.33538654199992,99.21999320799978,99.21999320799978,104.37291858299977,99.21999320799978,99.21999320799978,99.21999320799978,99.21999320799978,99.67601349999995,100.7310044169999,99.64668624966659,,101.2816416669998,102.34510270800001,101.25206658366666,,99.21999320799978,104.37291858299977,99.21999320799978,104.37291858299977,104.41306358299971,105.0618076249998,99.21999320799978,2,1,0.47360250000065207,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,10,,,,,0,8,8,8,,,,,,,,,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.23574325033326,105.33538654199992,105.33538654199992,105.33538654199992,105.23574325033326,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.28574325033327,105.33538654199992,105.33538654199992,105.33538654199992,105.28574325033327,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,105.33538654199992,110.54574249999996,110.54574249999996,115.57593212499978,None,0,,reldom2_s019,001,2025-02-20_13h04.47.103,Aud-B-Scan_AC,2022.2.5,None,
