Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.166201292013284,8.166201292013284,2,1.190595249994658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,9.390302791987779,9.390302791987779,5,17.85818566699163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,27.26203691700357,27.26203691700357,5,1.9852947920153383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,29.264842292002868,29.264842292002868,5,1.984520875994349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,31.270096332998946,31.270096332998946,5,1.9775307080126368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.36625766666645,33.46415337501094,33.46415337501094,33.46415337501094,33.36625766666645,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.416257666666446,33.46415337501094,33.46415337501094,33.46415337501094,33.416257666666446,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,33.46415337501094,38.68412679200992,38.68412679200992,49.68152920799912,None,0,,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
1,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_F_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,,,,,49.68152920799912,49.68152920799912,49.68152920799912,49.68152920799912,49.68152920799912,49.68152920799912,49.68152920799912,49.68152920799912,49.60986350000021,49.68152920799912,49.68152920799912,49.68152920799912,49.60986350000021,49.68152920799912,49.68152920799912,49.68152920799912,51.76744804199552,,49.68152920799912,49.68152920799912,54.85406279200106,49.68152920799912,49.68152920799912,49.68152920799912,49.68152920799912,50.13472170798923,51.1770768330025,50.10575874968005,,51.76744804199552,52.81329795799684,51.73873212468267,52.76778412499698,49.68152920799912,54.85406279200106,49.68152920799912,54.85406279200106,54.89383733298746,55.575048667000374,49.68152920799912,1,0,1.941266584006371,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
2,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_D_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,,,,,55.786362916987855,55.786362916987855,55.786362916987855,55.786362916987855,55.786362916987855,55.786362916987855,55.786362916987855,55.786362916987855,55.70838200033371,55.786362916987855,55.786362916987855,55.786362916987855,55.70838200033371,55.786362916987855,55.786362916987855,55.786362916987855,57.87894095800584,61.90733937500045,55.786362916987855,55.786362916987855,60.97447474999353,55.786362916987855,55.786362916987855,55.786362916987855,55.786362916987855,56.240888667001855,57.28702670801431,56.21179095865615,57.24023020800087,57.87894095800584,58.92961970801116,57.85020587465648,,55.786362916987855,60.97447474999353,55.786362916987855,60.97447474999353,60.97447474999353,61.65701420800178,55.786362916987855,2,1,0.5903733329905663,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
3,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_F_loud.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Category,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,,,,,61.90733937500045,61.90733937500045,61.90733937500045,61.90733937500045,61.90733937500045,61.90733937500045,61.90733937500045,61.90733937500045,61.83049916633366,61.90733937500045,61.90733937500045,61.90733937500045,61.83049916633366,61.90733937500045,61.90733937500045,61.90733937500045,64.02037933300016,,61.90733937500045,61.90733937500045,67.09996462499839,61.90733937500045,61.90733937500045,61.90733937500045,61.90733937500045,62.365642499993555,63.42431779199978,62.33602166668085,,64.02037933300016,65.0790231669962,63.99085562467032,65.03327195800375,61.90733937500045,67.09996462499839,61.90733937500045,67.09996462499839,67.09996462499839,67.74803258301108,61.90733937500045,1,1,0.7944394169899169,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
4,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_high-pitch_F_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Category,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,,,,,67.9981486670149,67.9981486670149,67.9981486670149,67.9981486670149,67.9981486670149,67.9981486670149,67.9981486670149,67.9981486670149,67.92122683333776,67.9981486670149,67.9981486670149,67.9981486670149,67.92122683333776,67.9981486670149,67.9981486670149,67.9981486670149,70.06961933299317,74.13096491701435,67.9981486670149,67.9981486670149,73.15876424999442,67.9981486670149,67.9981486670149,67.9981486670149,67.9981486670149,68.4582022500108,69.51803295800346,68.42858491666654,,70.06961933299317,71.1316432080057,70.03988570865864,,67.9981486670149,73.15876424999442,67.9981486670149,73.15876424999442,73.20172754200757,73.8576975830074,67.9981486670149,1,1,1.381227666977793,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,,,,,0,5,5,5,,,,,,,,,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.03208016633482,74.13096491701435,74.13096491701435,74.13096491701435,74.03208016633482,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.08208016633483,74.13096491701435,74.13096491701435,74.13096491701435,74.08208016633483,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,74.13096491701435,79.33475012501003,79.33475012501003,84.30050379200839,None,0,,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
5,Second_Order,1.0,audwhat,stimulus/audwhat_stim/string cello_low-pitch_D_loud.wav,stimulus/audwhat_stim/string viola_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_D_loud.wav,stimulus/audwhat_stim/string viola_low-pitch_D_loud.wav,stimulus/audwhat_stim/match_blank.png,stimulus/audwhat_stim/match_box.png,stimulus/audwhat_stim/match_yes.png,stimulus/audwhat_stim/match_no.png,2.0,Match,Category,Pitch,2,5.125,0,5.125,0,5.125,0,5.125,0,0.75,0.75,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,1,0.5,1,2.125,0,,,,,0,6,6,6,,,,,,,,,84.30050379200839,89.41639008300263,84.30050379200839,84.30050379200839,84.30050379200839,84.30050379200839,84.75630041700788,85.75429391700891,84.7684834586728,,86.37646566701005,87.3744362500147,86.38846766666781,,89.41639008300263,90.26705479199882,92.31324195800698,,90.26705479199882,90.26705479199882,95.42748516699066,90.26705479199882,90.26705479199882,90.26705479199882,90.26705479199882,90.72043087499333,91.7668682920048,90.69127608367513,91.7211140000145,92.31324195800698,93.37173379200976,92.28386833367792,,90.26705479199882,95.42748516699066,90.26705479199882,95.42748516699066,95.42748516699066,,90.26705479199882,2,1,0.8311346669797786,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
6,Second_Order,1.0,audwhat,stimulus/audwhat_stim/string cello_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Ftri_loud.wav,stimulus/audwhat_stim/string cello_low-pitch_Ftri_loud.wav,stimulus/audwhat_stim/match_blank.png,stimulus/audwhat_stim/match_box.png,stimulus/audwhat_stim/match_yes.png,stimulus/audwhat_stim/match_no.png,1.0,Match,Pitch,Pitch,1,5.125,0,5.125,0,5.125,0,5.125,0,0.625,0.625,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,1,0.5,1,2.125,0,,,,,0,7,7,7,,,,,,,,,96.22935220799991,101.34471249999478,96.22935220799991,96.22935220799991,96.22935220799991,96.22935220799991,96.68333866700414,97.68169712499366,96.69605670866828,,98.30458554200595,99.30205349999596,98.3168460416821,,101.34471249999478,102.07674179199967,104.11892133299261,108.17313008301426,102.07674179199967,102.07674179199967,107.260671541997,102.07674179199967,102.07674179199967,102.07674179199967,102.07674179199967,102.52756112499628,103.57406987500144,102.49905083366708,,104.11892133299261,105.16633845798788,104.08980091667424,,102.07674179199967,107.260671541997,102.07674179199967,107.260671541997,107.260671541997,107.94411933299853,102.07674179199967,1,1,0.928199209010927,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,,,,,0,8,8,8,,,,,,,,,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.07745266633185,108.17313008301426,108.17313008301426,108.17313008301426,108.07745266633185,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.12745266633186,108.17313008301426,108.17313008301426,108.17313008301426,108.12745266633186,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,108.17313008301426,113.36772495799232,113.36772495799232,117.43935791699914,None,0,,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
7,First_Order,2.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string cello_low-pitch_F_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_F_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Pitch,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,9,9,9,,,,,,,,,117.43935791699914,117.43935791699914,117.43935791699914,117.43935791699914,117.43935791699914,117.43935791699914,117.43935791699914,117.43935791699914,117.36760987467521,117.43935791699914,117.43935791699914,117.43935791699914,117.36760987467521,117.43935791699914,117.43935791699914,117.43935791699914,119.55363400001079,,117.43935791699914,117.43935791699914,122.59483345798799,117.43935791699914,117.43935791699914,117.43935791699914,117.43935791699914,117.89829824998742,118.95484095800202,117.86953879165618,,119.55363400001079,120.61665708301007,119.52394916667642,,117.43935791699914,122.59483345798799,117.43935791699914,122.59483345798799,122.6356792919978,123.28415491699707,117.43935791699914,1,1,0.8491590839985292,reldom2_s024,001,2025-02-27_11h33.37.364,What-A-Scan_AC,2022.2.5,None,
