Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.036314666969702,7.036314666969702,2,0.4656077080289833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,7.530770000012126,7.530770000012126,5,17.533898124995176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,25.078291833982803,25.078291833982803,5,1.9879235820262693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,27.081790249969345,27.081790249969345,5,1.982966748997569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,29.07701933401404,29.07701933401404,5,1.9874708740389906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.192199125680297,31.285169292008504,31.285169292008504,31.285169292008504,31.192199125680297,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.242199125680294,31.285169292008504,31.285169292008504,31.285169292008504,31.242199125680294,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,31.285169292008504,36.494216249964666,36.494216249964666,47.46392825001385,None,0,,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
1,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/60-deg_dot-left_peru.png,stimulus/viswhere_stim/60-deg_dot-right_turquoise.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/dot_box.png,stimulus/viswhere_stim/dot_yes.png,stimulus/viswhere_stim/dot_no.png,None,Dot,None,Line,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,1,1,1,,,,,,,,,47.46392825001385,47.46392825001385,47.46392825001385,47.46392825001385,47.46392825001385,47.46392825001385,47.46392825001385,47.46392825001385,47.44007491696393,47.46392825001385,47.46392825001385,47.46392825001385,47.44007491696393,47.46392825001385,47.46392825001385,47.46392825001385,49.57127929199487,53.52575854200404,47.46392825001385,47.46392825001385,52.60006595897721,47.939631542016286,48.944514208997134,49.57127929199487,50.58291670901235,47.46392825001385,47.46392825001385,47.456741583630595,47.46392825001385,47.46392825001385,47.46392825001385,47.456741583630595,47.46392825001385,47.46392825001385,52.60006595897721,47.46392825001385,52.60006595897721,52.68172679201234,53.3090406669653,47.46392825001385,2,1,0.8808989160461351,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
2,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/60-deg_dot-right_turquoise.png,stimulus/viswhere_stim/60-deg_dot-left_turquoise.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/line_box.png,stimulus/viswhere_stim/line_yes.png,stimulus/viswhere_stim/line_no.png,None,Line,None,Line,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,2,2,2,,,,,,,,,53.52575854200404,53.52575854200404,53.52575854200404,53.52575854200404,53.52575854200404,53.52575854200404,53.52575854200404,53.52575854200404,53.50601704234335,53.52575854200404,53.52575854200404,53.52575854200404,53.50601704234335,53.52575854200404,53.52575854200404,53.52575854200404,55.62509766698349,59.58368845900986,53.52575854200404,53.52575854200404,58.66000212501967,54.00373233400751,55.01552991697099,55.62509766698349,56.63966837502085,53.52575854200404,53.52575854200404,53.52268370901002,53.52575854200404,53.52575854200404,53.52575854200404,53.52268370901002,53.52575854200404,53.52575854200404,58.66000212501967,53.52575854200404,58.66000212501967,58.75744829198811,59.37999508401845,53.52575854200404,1,1,0.8296233330620453,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
3,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/30-deg_dot-left_salmon.png,stimulus/viswhere_stim/120-deg_dot-left_royalblue.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/line_box.png,stimulus/viswhere_stim/line_yes.png,stimulus/viswhere_stim/line_no.png,None,Line,None,Dot,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,3,3,3,,,,,,,,,59.58368845900986,59.58368845900986,59.58368845900986,59.58368845900986,59.58368845900986,59.58368845900986,59.58368845900986,59.58368845900986,59.563457375353515,59.58368845900986,59.58368845900986,59.58368845900986,59.563457375353515,59.58368845900986,59.58368845900986,59.58368845900986,61.68269654200412,65.64047654200112,59.58368845900986,59.58368845900986,64.73550641699694,60.060784208995756,61.07191966701066,61.68269654200412,62.69587087497348,59.58368845900986,59.58368845900986,59.58012404202018,59.58368845900986,59.58368845900986,59.58368845900986,59.58012404202018,59.58368845900986,59.58368845900986,64.73550641699694,59.58368845900986,64.73550641699694,64.80666358396411,65.43977850000374,59.58368845900986,2,1,1.018145208072383,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
4,First_Order,1.0,viswhere,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/150-deg_dot-right_salmon.png,stimulus/viswhere_stim/90-deg_dot-right_goldenrod.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/line_box.png,stimulus/viswhere_stim/line_yes.png,stimulus/viswhere_stim/line_no.png,None,Line,None,Dot,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,4,4,4,,,,,,,,,65.64047654200112,65.64047654200112,65.64047654200112,65.64047654200112,65.64047654200112,65.64047654200112,65.64047654200112,65.64047654200112,65.62073441730656,65.64047654200112,65.64047654200112,65.64047654200112,65.62073441730656,65.64047654200112,65.64047654200112,65.64047654200112,67.75445274997037,71.78093520901166,65.64047654200112,65.64047654200112,70.76193183398573,66.12004283396527,67.12196199997561,67.75445274997037,68.75936720898608,65.64047654200112,65.64047654200112,65.63740108397323,65.64047654200112,65.64047654200112,65.64047654200112,65.63740108397323,65.64047654200112,65.64047654200112,70.76193183398573,65.64047654200112,70.76193183398573,70.86358725000173,71.49524416698841,65.64047654200112,2,1,1.0633612080710009,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,,,,,0,5,5,5,,,,,,,,,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.68160516729888,71.78093520901166,71.78093520901166,71.78093520901166,71.68160516729888,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.73160516729888,71.78093520901166,71.78093520901166,71.78093520901166,71.73160516729888,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,71.78093520901166,76.99185183399823,76.99185183399823,80.92459295899607,None,0,,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
5,Second_Order,1.0,viswhere,stimulus/viswhere_stim/90-deg_dot-right_mediumslateblue.png,stimulus/viswhere_stim/90-deg_dot-left_peru.png,stimulus/viswhere_stim/150-deg_dot-left_seagreen.png,stimulus/viswhere_stim/120-deg_dot-left_mediumslateblue.png,stimulus/viswhere_stim/match_blank.png,stimulus/viswhere_stim/match_box.png,stimulus/viswhere_stim/match_yes.png,stimulus/viswhere_stim/match_no.png,2.0,Match,Line,Dot,2,5.125,0,5.125,0,5.125,0,5.125,0,0.75,0.75,1,0.5,1,2.125,1,0.5,1,2.125,0,0.0,0,0.0,0,0.0,0,0.0,0,,,,,0,6,6,6,,,,,,,,,80.92459295899607,86.04015899996739,81.40777158399578,82.39740650000749,83.03391958400607,84.0306221669889,80.92459295899607,80.92459295899607,80.93889450034669,80.92459295899607,80.92459295899607,80.92459295899607,80.93889450034669,80.92459295899607,86.04015899996739,86.83266274997732,88.9042465420207,92.77480779198231,86.83266274997732,86.83266274997732,91.95822529197903,87.28102150000632,88.28861487499671,88.9042465420207,89.91202908399282,86.83266274997732,86.83266274997732,86.80731404230076,86.83266274997732,86.83266274997732,86.83266274997732,86.80731404230076,86.83266274997732,86.83266274997732,91.95822529197903,86.83266274997732,91.95822529197903,92.03197654196993,92.81098170898622,86.83266274997732,2,1,1.3017443739809096,reldom2_s026,001,2025-03-06_15h57.06.791,Where-A-Scan_AC,2022.2.5,None,
