Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.905378625029698,6.905378625029698,2,1.532921040954534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,8.474730709043797,8.474730709043797,5,15.762050040997565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,24.24675237503834,24.24675237503834,5,1.9906755829579197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,26.25897695904132,26.25897695904132,5,1.978837416972965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,28.25615283404477,28.25615283404477,5,1.9821632499806583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.356737208696238,30.452073500026017,30.452073500026017,30.452073500026017,30.356737208696238,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.406737208696235,30.452073500026017,30.452073500026017,30.452073500026017,30.406737208696235,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,30.452073500026017,35.629721292003524,35.629721292003524,46.69036150001921,None,0,,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_away_290h.wav,stimulus/audwhere_stim/right_toward_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Side,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,,,,,46.69036150001921,46.69036150001921,46.69036150001921,46.69036150001921,46.69036150001921,46.69036150001921,46.69036150001921,46.69036150001921,46.624693084019235,46.69036150001921,46.69036150001921,46.69036150001921,46.624693084019235,46.69036150001921,46.69036150001921,46.69036150001921,48.78593625000212,52.8109910840285,46.69036150001921,46.69036150001921,51.85926333401585,46.69036150001921,46.69036150001921,46.69036150001921,46.69036150001921,47.18178899999475,48.25092704204144,47.15367908368741,,48.78593625000212,49.81409095902927,48.75758779165723,,46.69036150001921,51.85926333401585,46.69036150001921,51.85926333401585,51.89859558403259,52.566657292016316,46.69036150001921,2,1,1.7531428749789484,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_290h.wav,stimulus/audwhere_stim/right_toward_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Direction,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,,,,,52.8109910840285,52.8109910840285,52.8109910840285,52.8109910840285,52.8109910840285,52.8109910840285,52.8109910840285,52.8109910840285,52.73889316737962,52.8109910840285,52.8109910840285,52.8109910840285,52.73889316737962,52.8109910840285,52.8109910840285,52.8109910840285,54.920340042037424,58.921680750034284,52.8109910840285,52.8109910840285,57.964187292032875,52.8109910840285,52.8109910840285,52.8109910840285,52.8109910840285,53.25798062502872,54.29173479200108,53.229738333673836,,54.920340042037424,55.94903579202946,54.89193825069039,,52.8109910840285,57.964187292032875,52.8109910840285,57.964187292032875,58.00363404204836,58.67318966699531,52.8109910840285,2,1,1.6251824159407988,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/right_toward_280h.wav,stimulus/audwhere_stim/right_away_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Side,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,,,,,58.921680750034284,58.921680750034284,58.921680750034284,58.921680750034284,58.921680750034284,58.921680750034284,58.921680750034284,58.921680750034284,58.845772917355255,58.921680750034284,58.921680750034284,58.921680750034284,58.845772917355255,58.921680750034284,58.921680750034284,58.921680750034284,61.00193987501552,,58.921680750034284,58.921680750034284,64.0853185839951,58.921680750034284,58.921680750034284,58.921680750034284,58.921680750034284,59.377488792000804,60.41714808403049,59.34879345866308,,61.00193987501552,62.04419558402151,60.973857208682844,,58.921680750034284,64.0853185839951,58.921680750034284,64.0853185839951,64.1254075000179,64.80523358401842,58.921680750034284,2,1,1.543243457970675,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/right_toward_300h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,,,,,65.01572158402996,65.01572158402996,65.01572158402996,65.01572158402996,65.01572158402996,65.01572158402996,65.01572158402996,65.01572158402996,64.93856691735175,65.01572158402996,65.01572158402996,65.01572158402996,64.93856691735175,65.01572158402996,65.01572158402996,65.01572158402996,67.0988200000138,,65.01572158402996,65.01572158402996,70.18822870904114,65.01572158402996,65.01572158402996,65.01572158402996,65.01572158402996,65.46836766699562,66.51055179204559,65.43940479169056,,67.0988200000138,68.14464304200374,67.06967720867057,,65.01572158402996,70.18822870904114,65.01572158402996,70.18822870904114,70.2286670000176,70.90790070901858,65.01572158402996,1,1,1.3118065829621628,reldom2_s029,001,2025-03-03_14h06.04.427,Where-B-Scan_AC,2022.2.5,None,
