Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.545813041971996,7.545813041971996,2,0.6126573740039021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,8.171780042001046,8.171780042001046,5,4.369694373977836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,12.559753833978903,12.559753833978903,5,10.401351332024205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,22.97323345899349,22.97323345899349,5,1.9916895410278812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,24.978363624948543,24.978363624948543,5,1.9834680409985594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.082629958660497,27.17288812500192,27.17288812500192,27.17288812500192,27.082629958660497,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.132629958660495,27.17288812500192,27.17288812500192,27.17288812500192,27.132629958660495,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,27.17288812500192,32.390079083968885,32.390079083968885,43.391556666989345,None,0,,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
1,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_away_280h.wav,stimulus/audwhere_stim/right_away_290h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Direction,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,,,,,43.391556666989345,43.391556666989345,43.391556666989345,43.391556666989345,43.391556666989345,43.391556666989345,43.391556666989345,43.391556666989345,43.32297737498302,43.391556666989345,43.391556666989345,43.391556666989345,43.32297737498302,43.391556666989345,43.391556666989345,43.391556666989345,45.50701187498635,,43.391556666989345,43.391556666989345,48.5519007499679,43.391556666989345,43.391556666989345,43.391556666989345,43.391556666989345,43.876279999967664,44.93329879199155,43.848586583630336,,45.50701187498635,46.56744891696144,45.47945566662044,,43.391556666989345,48.5519007499679,43.391556666989345,48.5519007499679,48.59128424996743,49.253497375000734,43.391556666989345,1,1,1.1019804580137134,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
2,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_away_270h.wav,stimulus/audwhere_stim/left_toward_270h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Side,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,,,,,49.49412795895478,49.49412795895478,49.49412795895478,49.49412795895478,49.49412795895478,49.49412795895478,49.49412795895478,49.49412795895478,49.42581145829366,49.49412795895478,49.49412795895478,49.49412795895478,49.42581145829366,49.49412795895478,49.49412795895478,49.49412795895478,51.57289812498493,55.61446020897711,49.49412795895478,49.49412795895478,54.67259524995461,49.49412795895478,49.49412795895478,49.49412795895478,49.49412795895478,49.97931762499502,51.041887583967764,49.95162650064255,,51.57289812498493,52.63820966699859,51.545207125662515,,49.49412795895478,54.67259524995461,49.49412795895478,54.67259524995461,54.71196674997918,55.37492491694866,49.49412795895478,2,1,1.0509584989631549,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
3,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_toward_300h.wav,stimulus/audwhere_stim/left_away_280h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/direction_box.png,stimulus/audwhere_stim/direction_yes.png,stimulus/audwhere_stim/direction_no.png,None,Direction,None,Side,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,,,,,55.61446020897711,55.61446020897711,55.61446020897711,55.61446020897711,55.61446020897711,55.61446020897711,55.61446020897711,55.61446020897711,55.54718175032952,55.61446020897711,55.61446020897711,55.61446020897711,55.54718175032952,55.61446020897711,55.61446020897711,55.61446020897711,57.7016538339667,,55.61446020897711,55.61446020897711,60.766906833974645,55.61446020897711,55.61446020897711,55.61446020897711,55.61446020897711,56.102418041962665,57.16988283395767,56.07422616664941,,57.7016538339667,58.76784374995623,57.67366250063448,,55.61446020897711,60.766906833974645,55.61446020897711,60.766906833974645,60.8446358749643,61.50895316695096,55.61446020897711,2,1,0.9947212080005556,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
4,First_Order,1.0,audwhere,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/dummy.wav,stimulus/audwhere_stim/left_away_270h.wav,stimulus/audwhere_stim/left_toward_290h.wav,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/side_box.png,stimulus/audwhere_stim/side_yes.png,stimulus/audwhere_stim/side_no.png,None,Side,None,Side,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,,,,,61.71319229196524,61.71319229196524,61.71319229196524,61.71319229196524,61.71319229196524,61.71319229196524,61.71319229196524,61.71319229196524,61.64228650028429,61.71319229196524,61.71319229196524,61.71319229196524,61.64228650028429,61.71319229196524,61.71319229196524,61.71319229196524,63.79675158398459,,61.71319229196524,61.71319229196524,66.9006740420009,61.71319229196524,61.71319229196524,61.71319229196524,61.71319229196524,62.20063624996692,63.26630729198223,62.17306479165951,,63.79675158398459,64.86154145898763,63.76920833363353,,61.71319229196524,66.9006740420009,61.71319229196524,66.9006740420009,66.93990041699726,67.60426737496164,61.71319229196524,2,0,1.2742594580049627,reldom2_s038,001,2025-03-06_13h24.50.845,Aud-A-Scan_AC,2022.2.5,None,
