Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.039796040975489,7.039796040975489,2,0.7866691250237636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,7.857470540970098,7.857470540970098,5,17.348515916033648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,25.22747275000438,25.22747275000438,5,1.982144417008385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,27.226955499965698,27.226955499965698,5,1.980038500041701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,29.216894207987934,29.216894207987934,5,1.9888711670064367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhere_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,16,,,,,0,0,0,0,,,,,,,,,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.31572041598847,31.414893457957078,31.414893457957078,31.414893457957078,31.31572041598847,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.382387082655136,31.414893457957078,31.414893457957078,31.414893457957078,31.382387082655136,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,31.414893457957078,36.63273145799758,36.63273145799758,47.6614484579768,None,0,,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
1,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/land_animal-moose.png,stimulus/viswhat_stim/water_animal-seaturtle.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/type_box.png,stimulus/viswhat_stim/type_yes.png,stimulus/viswhat_stim/type_no.png,None,Type,None,Type,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,1,1,1,,,,,,,,,47.6614484579768,47.6614484579768,47.6614484579768,47.6614484579768,47.6614484579768,47.6614484579768,47.6614484579768,47.6614484579768,47.564344540971796,47.6614484579768,47.6614484579768,47.6614484579768,47.564344540971796,47.6614484579768,47.6614484579768,47.6614484579768,49.760555665998254,,47.6614484579768,47.6614484579768,52.8396329159732,48.114955624972936,49.19181733299047,49.760555665998254,50.843087832967285,47.6614484579768,47.6614484579768,47.61434454097179,47.6614484579768,47.6614484579768,47.6614484579768,47.61434454097179,47.6614484579768,47.6614484579768,52.8396329159732,47.6614484579768,52.8396329159732,52.8396329159732,53.513188207987696,47.6614484579768,1,1,0.8778626670246013,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
2,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/water_vehicle-submarine.png,stimulus/viswhat_stim/land_vehicle-firetruck.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/type_box.png,stimulus/viswhat_stim/type_yes.png,stimulus/viswhat_stim/type_no.png,None,Type,None,Type,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,2,2,2,,,,,,,,,53.70717487495858,53.70717487495858,53.70717487495858,53.70717487495858,53.70717487495858,53.70717487495858,53.70717487495858,53.70717487495858,53.663188207987695,53.70717487495858,53.70717487495858,53.70717487495858,53.663188207987695,53.70717487495858,53.70717487495858,53.70717487495858,55.798925415962,59.801955790957436,53.70717487495858,53.70717487495858,58.83701600000495,54.18555670796195,55.219665624958,55.798925415962,56.813486374972854,53.70717487495858,53.70717487495858,53.696521541321026,53.70717487495858,53.70717487495858,53.70717487495858,53.696521541321026,53.70717487495858,53.70717487495858,58.83701600000495,53.70717487495858,58.83701600000495,58.91629083297448,59.551209790981375,53.70717487495858,1,1,0.4888245000038296,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
3,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/water_vehicle-kayak.png,stimulus/viswhat_stim/land_vehicle-vespa.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/location_box.png,stimulus/viswhat_stim/location_yes.png,stimulus/viswhat_stim/location_no.png,None,Location,None,Type,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,3,3,3,,,,,,,,,59.801955790957436,59.801955790957436,59.801955790957436,59.801955790957436,59.801955790957436,59.801955790957436,59.801955790957436,59.801955790957436,59.749903999990785,59.801955790957436,59.801955790957436,59.801955790957436,59.749903999990785,59.801955790957436,59.801955790957436,59.801955790957436,61.89012608298799,65.88792441599071,59.801955790957436,59.801955790957436,64.955892457976,60.27093070797855,61.31416154099861,61.89012608298799,62.94026795797981,59.801955790957436,59.801955790957436,59.76657066665745,59.801955790957436,59.801955790957436,59.801955790957436,59.76657066665745,59.801955790957436,59.801955790957436,64.955892457976,59.801955790957436,64.955892457976,65.01696099998662,65.65827608300606,59.801955790957436,2,1,0.6613844169769436,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
4,First_Order,1.0,viswhat,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/water_vehicle-pirateship.png,stimulus/viswhat_stim/land_vehicle-buldozer.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/location_box.png,stimulus/viswhat_stim/location_yes.png,stimulus/viswhat_stim/location_no.png,None,Location,None,Type,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0.0,0,0.0,1,0.5,1,2.125,0,0,0,0,0,0,0,0,0,,,,,0,4,4,4,,,,,,,,,65.88792441599071,65.88792441599071,65.88792441599071,65.88792441599071,65.88792441599071,65.88792441599071,65.88792441599071,65.88792441599071,65.83605945764963,65.88792441599071,65.88792441599071,65.88792441599071,65.83605945764963,65.88792441599071,65.88792441599071,65.88792441599071,67.97922362497775,72.02113149996148,65.88792441599071,65.88792441599071,71.02620208298322,66.3598199999542,67.40658145799534,67.97922362497775,68.99895037495298,65.88792441599071,65.88792441599071,65.86939279098297,65.88792441599071,65.88792441599071,65.88792441599071,65.86939279098297,65.88792441599071,65.88792441599071,71.02620208298322,65.88792441599071,71.02620208298322,71.1110683750012,71.76037270796951,65.88792441599071,2,1,0.6501129170064814,reldom2_s038,001,2025-03-06_13h35.47.365,Vis-A-Scan_AC,2022.2.5,None,
