Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,text2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.542545791000066,8.542545791000066,2,0.8870072920003622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s039,001,2025-03-19_16h19.18.583,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,9.460062582999853,9.460062582999853,5,17.85334337500035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s039,001,2025-03-19_16h19.18.583,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,27.334554790999846,27.334554790999846,5,1.9807112500002404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s039,001,2025-03-19_16h19.18.583,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,29.332137124999917,29.332137124999917,5,1.980230125000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s039,001,2025-03-19_16h19.18.583,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,31.326901500000076,31.326901500000076,5,1.9869052080002803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s039,001,2025-03-19_16h19.18.583,Aud-B-Scan_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhere_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,16,,,,,0,0,0,0,,,,,,,,,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.43878804166649,33.534743457999866,33.534743457999866,33.534743457999866,33.43878804166649,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.48878804166649,33.534743457999866,33.534743457999866,33.534743457999866,33.48878804166649,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,33.534743457999866,38.75640591599995,38.75640591599995,49.741828124999756,None,0,reldom2_s039,001,2025-03-19_16h19.18.583,Aud-B-Scan_AC,2022.2.5,None,
1,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_low-pitch_F_loud.wav,stimulus/audwhat_stim/string cello_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,,,,,49.741828124999756,49.741828124999756,49.741828124999756,49.741828124999756,49.741828124999756,49.741828124999756,49.741828124999756,49.741828124999756,49.67436854100006,49.741828124999756,49.741828124999756,49.741828124999756,49.67436854100006,49.741828124999756,49.741828124999756,49.741828124999756,51.817024707999735,,49.741828124999756,49.741828124999756,54.901296083000034,49.741828124999756,49.741828124999756,49.741828124999756,49.741828124999756,50.23042512499978,51.28745079100008,50.202789457666555,,51.817024707999735,52.876723749999655,51.789729749666336,,49.741828124999756,54.901296083000034,49.741828124999756,54.901296083000034,54.940180790999875,55.60031858299999,49.741828124999756,None,0,reldom2_s039,001,2025-03-19_16h19.18.583,Aud-B-Scan_AC,2022.2.5,None,
2,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/string viola_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Pitch,1,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,,,,,55.84012083299967,55.84012083299967,55.84012083299967,55.84012083299967,55.84012083299967,55.84012083299967,55.84012083299967,55.84012083299967,55.77230774933299,55.84012083299967,55.84012083299967,55.84012083299967,55.77230774933299,55.84012083299967,55.84012083299967,55.84012083299967,57.920341582999754,,55.84012083299967,55.84012083299967,60.99025037499996,55.84012083299967,55.84012083299967,55.84012083299967,55.84012083299967,56.32655754100006,57.38909724999985,56.29895429166642,57.344400415999644,57.920341582999754,58.98956191599973,57.89256404166669,,55.84012083299967,60.99025037499996,55.84012083299967,60.99025037499996,61.06818808299977,61.73212233300001,55.84012083299967,None,0,reldom2_s039,001,2025-03-19_16h19.18.583,Aud-B-Scan_AC,2022.2.5,None,
3,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Pitch,2,0.0,0,5.125,0,5.125,0,5.125,0,0.0,0.625,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,,,,,61.93908824999971,61.93908824999971,61.93908824999971,61.93908824999971,61.93908824999971,61.93908824999971,61.93908824999971,61.93908824999971,61.86545566633334,61.93908824999971,61.93908824999971,61.93908824999971,61.86545566633334,61.93908824999971,61.93908824999971,61.93908824999971,64.04318108300004,,61.93908824999971,61.93908824999971,67.08884166600001,61.93908824999971,61.93908824999971,61.93908824999971,61.93908824999971,62.38672483299979,63.41672549999976,62.35845566666673,,64.04318108300004,65.07615358299972,64.01484162466637,,61.93908824999971,67.08884166600001,61.93908824999971,67.08884166600001,67.12818495800002,67.7964407909999,61.93908824999971,None,0,reldom2_s039,001,2025-03-19_16h19.18.583,Aud-B-Scan_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.04138241600003,68.04138241600003,68.04138241600003,68.04138241600003,68.04138241600003,68.04138241600003,68.04138241600003,68.04138241600003,67.96894708333332,68.04138241600003,68.04138241600003,68.04138241600003,67.96894708333332,68.04138241600003,68.04138241600003,68.04138241600003,,,68.04138241600003,68.04138241600003,,68.04138241600003,68.04138241600003,68.04138241600003,68.04138241600003,68.4881003749997,,68.45974570766636,,,,,,68.04138241600003,,68.04138241600003,,,,68.04138241600003,,,,,,,,,
