Trial,Order,Block,Type,Stimuli_File1,Stimuli_File2,Stimuli_File3,Stimuli_File4,Cue_File1,Cue_File2,Response_File_Yes,Response_File_No,Match,Cue_Dimension,Pair1_Dimension,Pair2_Dimension,Key,Cue1_Duration,Cue1_Onset,Cue2_Duration,Cue2_Onset,ResponseYes_Duration,ResponseYes_Onset,ResponseNo_Duration,ResponseNo_Onset,ITI_Within,ITI_Between,Image1_Duration,Image1_Onset,Image2_Duration,Image2_Onset,Image3_Duration,Image3_Onset,Image4_Duration,Image4_Onset,Sound1_Duration,Sound1_Onset,Sound2_Duration,Sound2_Onset,Sound3_Duration,Sound3_Onset,Sound4_Duration,Sound4_Onset,Fixation_Duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_start.started,key_resp_start.started,key_resp_start.keys,key_resp_start.rt,cue_file1.started,cue_file1.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,sound_icon1.started,sound_icon1.stopped,sound_1.started,sound_1.stopped,sound_icon2.started,sound_icon2.stopped,sound_2.started,sound_2.stopped,image_blank_1.started,image_blank_1.stopped,key_press.started,key_press.stopped,fixation_text.started,cue_file2.started,cue_file2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,sound_icon3.started,sound_icon3.stopped,sound_3.started,sound_3.stopped,sound_icon4.started,sound_icon4.stopped,sound_4.started,sound_4.stopped,response_yes.started,response_yes.stopped,response_no.started,response_no.stopped,iti_blank.started,iti_blank.stopped,fixation_text.stopped,key_press.keys,key_press.corr,key_press.rt,text_score.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.53584758299985,11.53584758299985,2,1.0789995420000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6,,,,,0,0,0,0,,,,,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.73234658266653,12.836353708000388,12.836353708000388,12.836353708000388,12.73234658266653,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.799013249333196,12.836353708000388,12.836353708000388,12.836353708000388,12.799013249333196,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,12.836353708000388,18.05420529100047,18.05420529100047,19.059349125000153,None,0,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
1,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_high-pitch_F_loud.wav,stimulus/audwhat_stim/string cello_low-pitch_D_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Category,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,1,1,1,,,,,19.059349125000153,19.059349125000153,19.059349125000153,19.059349125000153,19.059349125000153,19.059349125000153,19.059349125000153,19.059349125000153,18.993091583000385,19.059349125000153,19.059349125000153,19.059349125000153,18.993091583000385,19.059349125000153,19.059349125000153,19.059349125000153,21.145642708000196,25.032013916000324,19.059349125000153,19.059349125000153,24.33333766600026,19.059349125000153,19.059349125000153,19.059349125000153,19.059349125000153,19.51029720800034,20.570791957999973,19.48160487466727,,21.145642708000196,22.208876790999966,21.117847332666557,,19.059349125000153,24.33333766600026,19.059349125000153,24.33333766600026,24.29425983300007,25.232753958000103,19.059349125000153,1,1,1.6463597930005562,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
2,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion mallet_low-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Category,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,2,2,2,,,,,25.232753958000103,25.232753958000103,25.232753958000103,25.232753958000103,25.232753958000103,25.232753958000103,25.232753958000103,25.232753958000103,25.165347249333657,25.232753958000103,25.232753958000103,25.232753958000103,25.165347249333657,25.232753958000103,25.232753958000103,25.232753958000103,27.313534583000546,31.184449666000546,25.232753958000103,25.232753958000103,30.54304795799999,25.232753958000103,25.232753958000103,25.232753958000103,25.232753958000103,25.6808406250002,26.739820249999866,25.653348166666788,26.695900916000028,27.313534583000546,28.377107291000357,27.285990541666493,,25.232753958000103,30.54304795799999,25.232753958000103,30.54304795799999,30.459817375000057,31.428474500000448,25.232753958000103,1,0,1.190722208999432,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
3,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/string cello_high-pitch_Ftri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/category_box.png,stimulus/audwhat_stim/category_yes.png,stimulus/audwhat_stim/category_no.png,None,Category,None,Pitch,2,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,3,3,3,,,,,31.428474500000448,31.428474500000448,31.428474500000448,31.428474500000448,31.428474500000448,31.428474500000448,31.428474500000448,31.428474500000448,31.35668291633386,31.428474500000448,31.428474500000448,31.428474500000448,31.35668291633386,31.428474500000448,31.428474500000448,31.428474500000448,33.54115733300023,37.36943874999997,31.428474500000448,31.428474500000448,36.70561154100051,31.428474500000448,31.428474500000448,31.428474500000448,31.428474500000448,31.882071875000292,32.95823716599989,31.853985624667317,32.912247416000355,33.54115733300023,34.57051237500036,33.513193541666865,,31.428474500000448,36.70561154100051,31.428474500000448,36.70561154100051,36.66646495800069,37.613078041000335,31.428474500000448,2,1,0.6059556249992966,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
4,First_Order,1.0,audwhat,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/dummy.wav,stimulus/audwhat_stim/string viola_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/percussion xylophone_high-pitch_Dtri_loud.wav,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/pitch_box.png,stimulus/audwhat_stim/pitch_yes.png,stimulus/audwhat_stim/pitch_no.png,None,Pitch,None,Pitch,1,0.0,0,5.25,0,5.25,0,5.25,0,0.0,0.75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,1,0.5,1,2.125,0,,,,,0,4,4,4,,,,,37.613078041000335,37.613078041000335,37.613078041000335,37.613078041000335,37.613078041000335,37.613078041000335,37.613078041000335,37.613078041000335,37.54183154133364,37.613078041000335,37.613078041000335,37.613078041000335,37.54183154133364,37.613078041000335,37.613078041000335,37.613078041000335,39.710508582999864,43.58116908300053,37.613078041000335,37.613078041000335,42.91743020800004,37.613078041000335,37.613078041000335,37.613078041000335,37.613078041000335,38.10203683300006,39.13182975000018,38.07443345766684,,39.710508582999864,40.73804850000033,39.68256766666697,40.73804850000033,37.613078041000335,42.91743020800004,37.613078041000335,42.91743020800004,42.833390750000035,43.80260483300026,37.613078041000335,2,0,0.958689750999838,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
0,0.0,None,fixation,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/viswhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,stimulus/audwhat_stim/blank_white.png,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,5,,,,,0,5,5,5,,,,,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.714502416333865,43.80260483300026,43.80260483300026,43.80260483300026,43.714502416333865,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.76450241633386,43.80260483300026,43.80260483300026,43.80260483300026,43.76450241633386,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,43.80260483300026,49.118888583000626,49.118888583000626,48.87923412500004,None,0,,,reldom2_s040,001,2025-03-19_16h58.08.642,audwhat_practice_AC,2022.2.5,None,
