Trial,Word1,Word2,Relation,Key,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_ready.started,key_resp_ready.started,key_resp_ready.keys,key_resp_ready.corr,key_resp_ready.rt,text_readyX.started,key_press.started,word1.started,word2.started,fixation.started,word1.stopped,word2.stopped,key_press.stopped,fixation.stopped,key_press.keys,key_press.corr,key_press.rt,text.started,key_resp_rest.started,key_resp_rest.keys,key_resp_rest.corr,post_rest_fixation.started,key_resp_rest.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,15.49124009800289,15.49124009800289,space,0,2.8598150209945743,,,,,,,,,,,,,,,,,,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
1,cockpit,pilot,place:thing,1,0,0,0,0,,,,,,18.40084746300272,23.43495934400562,23.43495934400562,23.43495934400562,25.890682747005485,25.948353760999453,25.948353760999453,27.402071385004092,27.402071385004092,1,1,1.2046092270029476,27.402071385004092,27.402071385004092,None,0,27.402071385004092,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
2,factory,machine,place:thing,1,0,1,1,1,,,,,,,27.402071385004092,27.402071385004092,27.402071385004092,29.89702730800491,29.914650748003623,29.914650748003623,31.387880929003586,31.410389276003116,1,1,0.9004755569985718,31.410389276003116,31.410389276003116,None,0,31.410389276003116,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
3,athlete,sprinter,category:exemplar,1,0,2,2,2,,,,,,,31.410389276003116,31.410389276003116,31.410389276003116,33.90585065500636,33.93160049400467,33.93160049400467,35.396332765005354,35.41989342900342,1,1,1.8559330799980671,35.41989342900342,35.41989342900342,None,0,35.41989342900342,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
4,coffee,latte,category:exemplar,1,0,3,3,3,,,,,,,35.41989342900342,35.41989342900342,35.41989342900342,37.90655150300154,37.91995387600036,37.91995387600036,39.41826294200291,39.41826294200291,1,1,1.063832805994025,39.41826294200291,39.41826294200291,None,0,39.41826294200291,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
5,sink,bathroom,part:whole,1,0,4,4,4,,,,,,,39.41826294200291,39.41826294200291,39.41826294200291,41.914744800000335,41.92702405000455,41.92702405000455,43.40917059200001,43.432759369999985,1,1,1.1779242120028357,43.432759369999985,43.432759369999985,None,0,43.432759369999985,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
6,office,beak,catch,2,0,5,5,5,,,,,,,43.432759369999985,43.432759369999985,43.432759369999985,45.9208713850021,45.93540618500265,45.93540618500265,47.41535979100445,47.43692085100338,2,1,1.1842271759960568,47.43692085100338,47.43692085100338,None,0,47.43692085100338,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
7,shed,tool,place:thing,1,0,6,6,6,,,,,,,47.43692085100338,47.43692085100338,47.43692085100338,49.93226272100583,49.94324967300054,49.94324967300054,51.43176691300323,51.455065358000866,1,1,1.0701667899993481,51.455065358000866,51.455065358000866,None,0,51.455065358000866,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
8,employee,pest,catch,2,0,7,7,7,,,,,,,51.455065358000866,51.455065358000866,51.455065358000866,53.942424996006594,53.95631778300594,53.95631778300594,55.48147695700027,55.48147695700027,2,1,1.230845664998924,55.48147695700027,55.48147695700027,None,0,55.48147695700027,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
9,concert,instrument,place:thing,1,0,8,8,8,,,,,,,55.48147695700027,55.48147695700027,55.48147695700027,57.952787155001715,57.99467838500277,57.99467838500277,59.44958847200178,59.47630209500494,1,1,1.246442774994648,59.47630209500494,59.47630209500494,None,0,59.47630209500494,,reldom2_s041,001,2025-03-20_13h36.48.689,Implicit_Encoding-B,2022.2.5,None,
